STATION;LATITUDE;LONGITUDE;ALTITUDE;MOIS;JOUR;HEURE;T2m;T-1m;Hur;Hus;RR;FF;DD;Tc;Tr;Hs;Os;Os_2;Rgh;Rdn;Rdi;Ne;Ps
MACON;46.2945;4.7943;219;1;1;0;9.087;6.536;92.695;0.007;0.012;7.693;282.469;4.054;7.92;-66.455;189.13;-170.87;0;0;0;0;993.548
MACON;46.2945;4.7943;219;1;1;1;8.819;6.618;89.999;0.006;0;6.862;274.985;2.292;7.193;-62.102;219.701;-140.299;0;0;0;0;992.032
MACON;46.2945;4.7943;219;1;1;2;8.634;6.701;87.669;0.006;0.002;6.175;277.39;0.969;6.61;-54.079;241.19;-118.81;0;0;0;0;990.327
MACON;46.2945;4.7943;219;1;1;3;8.387;6.784;85.776;0.006;0;5.656;281.581;-0.421;6.049;-44.422;256.411;-103.589;0;0;0;0;989.043
MACON;46.2945;4.7943;219;1;1;4;8.222;6.868;83.609;0.006;0.002;6.056;282.258;-2.008;5.525;-34.164;268.399;-91.601;0;0;0;0;987.579
MACON;46.2945;4.7943;219;1;1;5;8.11;6.951;80.548;0.006;0;6.847;288.246;-3.329;4.896;-23.837;278.899;-81.101;0;0;0;0.379;985.881
MACON;46.2945;4.7943;219;1;1;6;7.895;7.036;78.095;0.005;0;5.157;287.729;-4.66;4.271;-13.791;288.917;-71.083;0;0;0;7.94;984.955
MACON;46.2945;4.7943;219;1;1;7;7.681;7.12;75.567;0.005;0;2.988;285.733;-5.804;3.634;-4.334;299.111;-60.889;0;0;0;15.032;983.815
MACON;46.2945;4.7943;219;1;1;8;7.239;7.123;78.956;0.005;0;2.996;272.273;-0.837;3.834;4.379;309.971;-50.029;25.142;0;25.142;94.81;986.089
MACON;46.2945;4.7943;219;1;1;9;7.26;7.124;81.014;0.005;0;2.984;293.784;-0.215;4.221;11.488;321.86;-38.14;63.202;0;63.202;100;988.56
MACON;46.2945;4.7943;219;1;1;10;7.403;7.125;78.803;0.005;0;2.041;302.925;-0.598;3.965;16.898;334.953;-25.047;64.584;3.583;63.609;95.325;987.436
MACON;46.2945;4.7943;219;1;1;11;8.192;7.126;74.849;0.005;0;1.99;311.458;-6.284;3.998;20.093;349.114;-10.886;99.55;6.753;97.455;33.346;987.47
MACON;46.2945;4.7943;219;1;1;12;8.187;7.126;71.013;0.005;0;2.007;300.185;0.335;3.247;20.734;3.829;3.829;110.785;10.164;107.661;98.545;989.237
