time_h,T_room_C,RH_room_pct,Q_HVAC_W,T_surf_Sud_C,T_surf_Nord_C,T_surf_Est_C,T_surf_Ouest_C
0.000,17.625,63.125,0.000,17.625,17.625,17.625,17.625
1.000,17.607,62.542,0.000,17.544,17.544,17.544,17.544
2.000,17.574,63.619,0.000,17.672,17.672,17.672,17.672
3.000,17.560,65.121,0.000,17.744,17.744,17.744,17.744
4.000,17.555,62.674,0.000,17.404,17.404,17.404,17.404
5.000,17.495,65.053,0.000,17.764,17.764,17.764,17.764
6.000,17.500,69.587,0.000,18.044,18.044,18.044,18.044
7.000,17.552,61.038,0.000,16.946,16.946,16.946,16.946
8.000,17.463,67.728,0.000,18.140,18.140,18.140,18.140
9.000,17.792,93.853,0.000,20.624,20.624,20.624,20.624
10.000,18.607,87.476,0.000,18.801,18.801,18.801,18.801
11.000,19.129,24.478,0.000,13.213,13.213,13.213,13.213
12.000,18.770,100.000,0.000,23.907,23.907,23.907,23.907
13.000,20.246,100.000,0.000,12.125,12.125,12.125,12.125
14.000,19.637,5.000,0.000,5.330,5.330,5.330,5.330
15.000,18.009,100.000,0.000,24.036,24.036,24.036,24.036
16.000,19.570,100.000,0.000,11.445,11.445,11.445,11.445
17.000,18.778,5.000,0.000,5.483,5.483,5.483,5.483
18.000,17.025,100.000,0.000,22.517,22.517,22.517,22.517
19.000,18.173,100.000,0.000,11.877,11.877,11.877,11.877
20.000,17.384,5.000,0.000,4.689,4.689,4.689,4.689
21.000,15.702,100.000,0.000,21.128,21.128,21.128,21.128
22.000,16.901,100.000,0.000,12.349,12.349,12.349,12.349
23.000,16.374,5.000,0.000,3.897,3.897,3.897,3.897
24.000,14.581,100.000,0.000,19.671,19.671,19.671,19.671
25.000,15.438,100.000,0.000,10.900,10.900,10.900,10.900
26.000,14.746,5.000,0.000,3.522,3.522,3.522,3.522
27.000,12.979,100.000,0.000,17.467,17.467,17.467,17.467
28.000,13.728,100.000,0.000,10.839,10.839,10.839,10.839
